userName,score,at,content,clean_content
Bah Raen,5,2025-09-07 14:14:03,Kasih bintang 4 dulu karena baru pemula belum tau kedepannya,kasih bintang 4 dulu karena baru pemula belum tau kedepannya
Nisa Anggita,5,2025-09-07 14:10:23,dana Memang Mantap,dana memang mantap
Prachi Aurellina,5,2025-09-07 14:07:56,baguus,baguus
Wali redfox,1,2025-09-07 14:05:51,"aplikasi tidak jelas, saldo tiba"" berkurang..","aplikasi tidak jelas, saldo tiba"" berkurang.."
Defri Cahdapi,1,2025-09-07 14:05:30,"aplikasi dana jelek download baru disuruh update, udah di update gak bisa masuk disuruh nunggu besok.","aplikasi dana jelek download baru disuruh update, udah di update gak bisa masuk disuruh nunggu besok."
Agus Ridha Juanda Juanda,4,2025-09-07 14:05:16,dana cicil saya limit ny kok terlalu kecil..sya sering gunakan dana cicil tetapi limit ny tidak bertambah,dana cicil saya limit ny kok terlalu kecil..sya sering gunakan dana cicil tetapi limit ny tidak bertambah
denz el ulum,3,2025-09-07 14:03:39,👍,👍
Er Caniago,5,2025-09-07 14:02:58,ok,ok
Pau A Min,5,2025-09-07 14:02:43,"apk nya baguss,kueang nya padaa fitur dana instan ngga ada","apk nya baguss,kueang nya padaa fitur dana instan ngga ada"
Baberaya Sinuhaji,2,2025-09-07 13:58:45,"Mau login tapi kendala nya disuruh menunggu besok terus, padahal sudah 3x24 jm","mau login tapi kendala nya disuruh menunggu besok terus, padahal sudah 3x24 jm"
nando nando,5,2025-09-07 13:58:05,"tolong si ini akun dana saya nomor nya sudah hilang,,terus saya mau masuk ke akun dana harus pakek kode otp,padahal sudah masukin sandi sama verifikasi wajah,,masa masih harus pkek kode otp,,gimna saldo yg ada di akun dana saya,apa masih bisa di ambil🙏🙏","tolong si ini akun dana saya nomor nya sudah hilang,,terus saya mau masuk ke akun dana harus pakek kode otp,padahal sudah masukin sandi sama verifikasi wajah,,masa masih harus pkek kode otp,,gimna saldo yg ada di akun dana saya,apa masih bisa di ambil🙏🙏"
Asep Awaludin,5,2025-09-07 13:56:59,gampang untuk transaksi,gampang untuk transaksi
Totok Parjo,5,2025-09-07 13:52:55,puas bgt,puas bgt
Ari Superi,5,2025-09-07 13:52:24,ko gak bisah mijam uang cicilan,ko gak bisah mijam uang cicilan
hengky gunstar,5,2025-09-07 13:52:08,"kok gak bisa masuk devosis saya dr brimo,selebihnya oke,","kok gak bisa masuk devosis saya dr brimo,selebihnya oke,"
Agus rono rene,5,2025-09-07 13:51:01,baik dan sangat membantu mudah di pahami,baik dan sangat membantu mudah di pahami
Suryadi Surya,5,2025-09-07 13:50:47,mantap,mantap
Imam Pratama,5,2025-09-07 13:45:19,lumayan,lumayan
Vika Anggraini,2,2025-09-07 13:44:51,karena mau meng unstal nya lama,karena mau meng unstal nya lama
Fadiah Azizah,5,2025-09-07 13:44:03,Cepat dan aman,cepat dan aman
cecep hendrik,5,2025-09-07 13:43:36,terbaik tersimple dalam transaksi,terbaik tersimple dalam transaksi
Arya Belinyu,5,2025-09-07 13:41:02,ok bagus,ok bagus
Jack Jsk,5,2025-09-07 13:40:30,aplikasi yg bagus aman untuk segala pembayaran,aplikasi yg bagus aman untuk segala pembayaran
dedi Sunil,5,2025-09-07 13:40:24,persi terbaru donk boss masih persi lama,persi terbaru donk boss masih persi lama
Ridha linlan,5,2025-09-07 13:39:46,makasih,makasih
Cien Aprhylio Aphrylio,5,2025-09-07 13:38:38,good luk,good luk
Lyna Liem,1,2025-09-07 13:36:54,app dana kenapa? tidak bisa ke buka ini akun dana saya ada uang 100.000 lebih,app dana kenapa? tidak bisa ke buka ini akun dana saya ada uang 100.000 lebih
Hair Uddin,5,2025-09-07 13:34:42,Dana tingkatkan kwalitas pelayanan yg ok,dana tingkatkan kwalitas pelayanan yg ok
Dwi Prayitno,5,2025-09-07 13:32:39,"mau cetak qris, kok malah masuk ke menu pengaturan hp??","mau cetak qris, kok malah masuk ke menu pengaturan hp??"
Brilian dhofir Febriansyah,1,2025-09-07 13:30:48,tidak bisa verifikasi dana premium,tidak bisa verifikasi dana premium
Itile Inci,5,2025-09-07 13:30:32,sangat baik bagus,sangat baik bagus
