userName,score,at,content,clean_content,p1_lower,p2_tokens,p3_no_stop,p4_regex,p5_stem,p6_lemma,p7_pos,p8_ner,p9_chunk,p10_abbrev,p11_emoji,p12_aug
Bah Raen,5,2025-09-07 14:14:03,Kasih bintang 4 dulu karena baru pemula belum tau kedepannya,kasih bintang 4 dulu karena baru pemula belum tau kedepannya,kasih bintang 4 dulu karena baru pemula belum tau kedepannya,"['kasih', 'bintang', '4', 'dulu', 'karena', 'baru', 'pemula', 'belum', 'tau', 'kedepannya']","['kasih', 'bintang', '4', 'pemula', 'tau', 'kedepannya']","['kasih', 'bintang', '4', 'pemula', 'tau', 'kedepannya']","['kasih', 'bintang', '4', 'mula', 'tau', 'depan']","['kasih', 'bintang', '4', 'mula', 'tau', 'depan']","[('kasih', 'PROPN'), ('bintang', 'PROPN'), ('4', 'NUM'), ('mula', 'PROPN'), ('tau', 'PROPN'), ('depan', 'NOUN')]","[('kasih bintang 4', 'PERSON')]","[('kasih bintang 4 mula', 'NP')]","['kasih', 'bintang', '4', 'mula', 'tau', 'depan']","['kasih', 'bintang', '4', 'mula', 'tau', 'depan']","['kasih', 'bintang', 'four', 'mula', 'tau', 'depan']"
Nisa Anggita,5,2025-09-07 14:10:23,dana Memang Mantap,dana memang mantap,dana memang mantap,"['dana', 'memang', 'mantap']","['dana', 'mantap']","['dana', 'mantap']","['dana', 'mantap']","['dana', 'mantap']","[('dana', 'PROPN'), ('mantap', 'PROPN')]","[('dana mantap', 'PERSON')]","[('dana mantap', 'NP')]","['dana', 'mantap']","['dana', 'mantap']","['Danu', 'mantap']"
Prachi Aurellina,5,2025-09-07 14:07:56,baguus,baguus,baguus,['baguus'],['baguus'],['baguus'],['baguus'],['baguus'],"[('baguus', 'NOUN')]",[],"[('baguus', 'NP')]",['baguus'],['baguus'],['baguus']
Wali redfox,1,2025-09-07 14:05:51,"aplikasi tidak jelas, saldo tiba"" berkurang..","aplikasi tidak jelas, saldo tiba"" berkurang..","aplikasi tidak jelas, saldo tiba"" berkurang..","['aplikasi', 'tidak', 'jelas', ',', 'saldo', 'tiba', '""', 'berkurang', '..']","['aplikasi', ',', 'saldo', '""', 'berkurang', '..']","['aplikasi', 'saldo', 'berkurang']","['aplikasi', 'saldo', 'kurang']","['aplikasi', 'saldo', 'kurang']","[('aplikasi', 'PROPN'), ('saldo', 'PROPN'), ('kurang', 'PROPN')]","[('aplikasi saldo kurang', 'ORG')]","[('aplikasi saldo kurang', 'NP')]","['aplikasi', 'saldo', 'kurang']","['aplikasi', 'saldo', 'kurang']","['aplikasi', 'saldo', 'kurang']"
Defri Cahdapi,1,2025-09-07 14:05:30,"aplikasi dana jelek download baru disuruh update, udah di update gak bisa masuk disuruh nunggu besok.","aplikasi dana jelek download baru disuruh update, udah di update gak bisa masuk disuruh nunggu besok.","aplikasi dana jelek download baru disuruh update, udah di update gak bisa masuk disuruh nunggu besok.","['aplikasi', 'dana', 'jelek', 'download', 'baru', 'disuruh', 'update', ',', 'udah', 'di', 'update', 'gak', 'bisa', 'masuk', 'disuruh', 'nunggu', 'besok', '.']","['aplikasi', 'dana', 'jelek', 'download', 'disuruh', 'update', ',', 'udah', 'update', 'gak', 'masuk', 'disuruh', 'nunggu', 'besok', '.']","['aplikasi', 'dana', 'jelek', 'download', 'disuruh', 'update', 'udah', 'update', 'gak', 'masuk', 'disuruh', 'nunggu', 'besok']","['aplikasi', 'dana', 'jelek', 'download', 'suruh', 'update', 'udah', 'update', 'gak', 'masuk', 'suruh', 'nunggu', 'besok']","['aplikasi', 'dana', 'jelek', 'download', 'suruh', 'update', 'udah', 'update', 'gak', 'masuk', 'suruh', 'nunggu', 'besok']","[('aplikasi', 'PROPN'), ('dana', 'PROPN'), ('jelek', 'PROPN'), ('download', 'PROPN'), ('suruh', 'PROPN'), ('update', 'NOUN'), ('udah', 'PROPN'), ('update', 'PROPN'), ('gak', 'PROPN'), ('masuk', 'PROPN'), ('suruh', 'PROPN'), ('nunggu', 'PROPN'), ('besok', 'VERB')]","[('dana jelek', 'PERSON')]",[],"['aplikasi', 'dana', 'jelek', 'download', 'suruh', 'update', 'udah', 'update', 'gak', 'masuk', 'suruh', 'nunggu', 'besok']","['aplikasi', 'dana', 'jelek', 'download', 'suruh', 'update', 'udah', 'update', 'gak', 'masuk', 'suruh', 'nunggu', 'besok']","['aplikasi', 'Danu', 'jelek', 'download', 'suruh', 'update', 'udah', 'update', 'gak', 'masuk', 'suruh', 'nunggu', 'besok']"
Agus Ridha Juanda Juanda,4,2025-09-07 14:05:16,dana cicil saya limit ny kok terlalu kecil..sya sering gunakan dana cicil tetapi limit ny tidak bertambah,dana cicil saya limit ny kok terlalu kecil..sya sering gunakan dana cicil tetapi limit ny tidak bertambah,dana cicil saya limit ny kok terlalu kecil..sya sering gunakan dana cicil tetapi limit ny tidak bertambah,"['dana', 'cicil', 'saya', 'limit', 'ny', 'kok', 'terlalu', 'kecil', '..', 'sya', 'sering', 'gunakan', 'dana', 'cicil', 'tetapi', 'limit', 'ny', 'tidak', 'bertambah']","['dana', 'cicil', 'limit', 'ny', '..', 'sya', 'dana', 'cicil', 'limit', 'ny', 'bertambah']","['dana', 'cicil', 'limit', 'ny', 'sya', 'dana', 'cicil', 'limit', 'ny', 'bertambah']","['dana', 'cicil', 'limit', 'ny', 'sya', 'dana', 'cicil', 'limit', 'ny', 'tambah']","['dana', 'cicil', 'limit', 'ny', 'sya', 'dana', 'cicil', 'limit', 'ny', 'tambah']","[('dana', 'PROPN'), ('cicil', 'PROPN'), ('limit', 'PROPN'), ('ny', 'PROPN'), ('sya', 'PROPN'), ('dana', 'PROPN'), ('cicil', 'PROPN'), ('limit', 'PROPN'), ('ny', 'PROPN'), ('tambah', 'PROPN')]","[('dana cicil', 'PERSON'), ('dana cicil', 'PERSON')]","[('dana cicil limit', 'NP'), ('ny sya dana cicil limit ny tambah', 'NP')]","['dana', 'cicil', 'limit', 'ny', 'sya', 'dana', 'cicil', 'limit', 'ny', 'tambah']","['dana', 'cicil', 'limit', 'ny', 'sya', 'dana', 'cicil', 'limit', 'ny', 'tambah']","['Danu', 'cicil', 'limit', 'New_York', 'sya', 'Danu', 'cicil', 'limit', 'New_York', 'tambah']"
denz el ulum,3,2025-09-07 14:03:39,👍,👍,👍,['👍'],['👍'],['👍'],[''],[''],[],[],[],[''],[''],['']
Er Caniago,5,2025-09-07 14:02:58,ok,ok,ok,['ok'],['ok'],['ok'],['ok'],['ok'],"[('ok', 'INTJ')]",[],[],['ok'],['ok'],['Oklahoma']
Pau A Min,5,2025-09-07 14:02:43,"apk nya baguss,kueang nya padaa fitur dana instan ngga ada","apk nya baguss,kueang nya padaa fitur dana instan ngga ada","apk nya baguss,kueang nya padaa fitur dana instan ngga ada","['apk', 'nya', 'baguss', ',', 'kueang', 'nya', 'padaa', 'fitur', 'dana', 'instan', 'ngga', 'ada']","['apk', 'nya', 'baguss', ',', 'kueang', 'nya', 'padaa', 'fitur', 'dana', 'instan', 'ngga']","['apk', 'nya', 'baguss', 'kueang', 'nya', 'padaa', 'fitur', 'dana', 'instan', 'ngga']","['apk', 'nya', 'baguss', 'kueang', 'nya', 'padaa', 'fitur', 'dana', 'instan', 'ngga']","['apk', 'nya', 'baguss', 'kueang', 'nya', 'padaa', 'fitur', 'dana', 'instan', 'ngga']","[('apk', 'PROPN'), ('nya', 'PROPN'), ('baguss', 'PROPN'), ('kueang', 'PROPN'), ('nya', 'PROPN'), ('padaa', 'PROPN'), ('fitur', 'PROPN'), ('dana', 'PROPN'), ('instan', 'PROPN'), ('ngga', 'PROPN')]","[('apk nya baguss kueang nya', 'PERSON')]","[('apk nya baguss kueang nya padaa fitur dana instan', 'NP')]","['apk', 'nya', 'baguss', 'kueang', 'nya', 'padaa', 'fitur', 'dana', 'instan', 'ngga']","['apk', 'nya', 'baguss', 'kueang', 'nya', 'padaa', 'fitur', 'dana', 'instan', 'ngga']","['apk', 'nya', 'baguss', 'kueang', 'nya', 'padaa', 'fitur', 'Danu', 'instan', 'ngga']"
Baberaya Sinuhaji,2,2025-09-07 13:58:45,"Mau login tapi kendala nya disuruh menunggu besok terus, padahal sudah 3x24 jm","mau login tapi kendala nya disuruh menunggu besok terus, padahal sudah 3x24 jm","mau login tapi kendala nya disuruh menunggu besok terus, padahal sudah 3x24 jm","['mau', 'login', 'tapi', 'kendala', 'nya', 'disuruh', 'menunggu', 'besok', 'terus', ',', 'padahal', 'sudah', '3x24', 'jm']","['login', 'kendala', 'nya', 'disuruh', 'menunggu', 'besok', ',', '3x24', 'jm']","['login', 'kendala', 'nya', 'disuruh', 'menunggu', 'besok', '3x24', 'jm']","['login', 'kendala', 'nya', 'suruh', 'tunggu', 'besok', '3x24', 'jm']","['login', 'kendala', 'nya', 'suruh', 'tunggu', 'besok', '3x24', 'jm']","[('login', 'PROPN'), ('kendala', 'PROPN'), ('nya', 'PROPN'), ('suruh', 'PROPN'), ('tunggu', 'NOUN'), ('besok', 'VERB'), ('3x24', 'PROPN'), ('jm', 'NOUN')]","[('login kendala nya', 'PERSON')]","[('login kendala nya suruh tunggu', 'NP'), ('3x24 jm', 'NP')]","['login', 'kendala', 'nya', 'suruh', 'tunggu', 'besok', '3x24', 'jm']","['login', 'kendala', 'nya', 'suruh', 'tunggu', 'besok', '3x24', 'jm']","['login', 'kendala', 'nya', 'suruh', 'tunggu', 'besok', '3x24', 'jm']"
